STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AJ1,GF1,MW1,KA1,EQD,CLEAN_TMP,CLEAN_DEW
2897099999,1916-01-08 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0039,1","+9999,9","09802,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-3.9,
2897099999,1916-01-08 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09831,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-6.7,
2897099999,1916-01-09 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09875,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-6.1,
2897099999,1916-01-09 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0061,1","+9999,9","09892,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-6.1,
2897099999,1916-01-09 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09887,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-7.2,
2897099999,1916-01-10 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09806,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-7.2,
2897099999,1916-01-10 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"140,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","09727,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-6.7,
2897099999,1916-01-10 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"090,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","09666,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","72,1",,,-7.2,
2897099999,1916-01-11 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"110,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09638,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",,,-8.9,
2897099999,1916-01-11 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"050,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","09664,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",,,-8.9,
2897099999,1916-01-11 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0094,1","+9999,9","09736,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",,,-9.4,
2897099999,1916-01-12 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0133,1","+9999,9","09822,1",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-13.3,
2897099999,1916-01-12 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"340,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0156,1","+9999,9","09859,1",,"03,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-15.6,
2897099999,1916-01-12 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"290,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0233,1","+9999,9","09876,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-23.3,
2897099999,1916-01-13 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"320,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","09874,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-18.9,
2897099999,1916-01-13 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"270,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0217,1","+9999,9","09890,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-21.7,
2897099999,1916-01-13 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"140,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0289,1","+9999,9","09911,1",,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-28.9,
2897099999,1916-01-14 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0233,1","+9999,9","09927,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-23.3,
2897099999,1916-01-14 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","09935,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9","70,1",,,-18.9,
2897099999,1916-01-14 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"250,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0172,1","+9999,9","09922,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-17.2,
2897099999,1916-01-15 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"140,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0200,1","+9999,9","09895,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-20.0,
2897099999,1916-01-15 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"140,1,N,0087,1","99999,9,9,N","000000,1,N,9","-0183,1","+9999,9","09846,1",,"06,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-18.3,
2897099999,1916-01-15 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"090,1,N,0087,1","99999,9,9,N","000000,1,N,9","-0200,1","+9999,9","09755,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-20.0,
2897099999,1916-01-16 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"070,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0178,1","+9999,9","09695,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-17.8,
2897099999,1916-01-16 13:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"050,1,N,0072,1","99999,9,9,N","000000,1,N,9","-0189,1","+9999,9","09718,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-18.9,
2897099999,1916-01-16 20:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"020,1,N,0051,1","99999,9,9,N","000000,1,N,9","-0194,1","+9999,9","09754,1",,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-19.4,
2897099999,1916-01-17 06:00:00,4,64.285472,27.692414,147.21,"KAJAANI, FI",FM-12,99999,V020,"290,1,N,0031,1","99999,9,9,N","000000,1,N,9","-0233,1","+9999,9","09811,1",,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,,,-23.3,
